1 decembrie	1 Decembrie
breaza de sus	Breaza de Sus
breazu	Breazu
breb	Breb
brebeni	Brebeni
brebu	Brebu
brebu manastirei	Brebu Mânăstirei
brebu megiesesc	Brebu Megieșesc
brebu nou	Brebu Nou
brehuiesti	Brehuiești
brestovat	Brestovăț
bretcu	Breţcu
bretea romana	Bretea Română
breznita ocol	Brezniţa Ocol
breznita-motru	Brezniţa-Motru
brezoaele	Brezoaele
brezoaia	Brezoaia
brezoi	Brezoi
brodina	Brodina
brodoc	Brodoc
broscauti	Broscăuţi
brosteni	Broșteni
brosteni	Broşteni
bruiu	Bruiu
brusturi	Brusturi
brusturoasa	Brusturoasa
bucecea	Bucecea
bucerdea-granoasa	Bucerdea-Grânoasă
buces	Buceş
bucesti	Bucești
bucharest	Bucharest
buchin	Buchin
bucinisu	Bucinişu
bucium	Bucium
bucium-orlea	Bucium-Orlea
buciumeni	Buciumeni
buciumi	Buciumi
bucosnita	Bucoşniţa
bucov	Bucov
bucova	Bucova
bucovat	Bucovăț
bucovat	Bucovăţ
bucovineni	Bucovineni
bucsani	Bucşani
bucsenesti	Bucșenești
bucsenesti-lotasi	Bucșenești-Lotași
bucsesti	Bucșești
bucsoaia	Bucșoaia
bucu	Bucu
bucuresci	Bucureşci
buda	Buda
budacu de jos	Budacu de Jos
budacu de sus	Budacu de Sus
budai	Budăi
budeasa	Budeasa
budeasa mica	Budeasa Mică
budeni	Budeni
budesti	Budeşti
budesti	Budești
budila	Budila
budureasa	Budureasa
buduslau	Buduslău
buesti	Buești
buftea	Buftea
bughea de jos	Bughea de Jos
bughea de sus	Bughea de Sus
buhalnita	Buhalnița
buhoci	Buhoci
buhusi	Buhuşi
bujoreni	Bujoreni
bujoru	Bujoru
bulbucata	Bulbucata
bulgarus	Bulgăruș
buliga	Buliga
bulz	Bulz
bulzesti	Bulzeşti
bulzestii de sus	Bulzeștii de Sus
bumbesti-jiu	Bumbeşti-Jiu
bunesti	Bunești
bunesti	Buneşti
bungetu	Bungetu
bunila	Bunila
buntesti	Bunteşti
burca	Burca
burias	Buriaș
burila mare	Burila Mare
burjuc	Burjuc
burla	Burla
bursuceni	Bursuceni
buruenesti	Burueneşti
buruienesti	Buruienești
burzuc	Burzuc
busca	Bușca
busteni	Buşteni
bustuchin	Bustuchin
butea	Butea
buteni	Buteni
butimanu	Butimanu
butoiesti	Butoieşti
buturugeni	Buturugeni
buza	Buza
buzau	Buzău
buzescu	Buzescu
buzias	Buziaş
buznea	Buznea
buzoesti	Buzoeşti
c.a. rosetti	C.A. Rosetti
cabesti	Căbeşti
cacica	Cacica
caciulati	Căciulați
cadea	Cadea
caianu	Căianu
caianu mic	Căianu Mic
cainenii mici	Câinenii Mici
caiuti	Căiuți
caiuti-sat	Căiuţi-Sat
cajvana	Cajvana
calacea	Călacea
calafat	Calafat
calafindesti	Calafindeşti
calan	Călan
calarasi	Călăraşi
calatele	Călăţele
caldararu	Căldăraru
caldarasti	Căldărăști
calimanesti	Călimăneşti
calina	Călina
calinesti	Călinești
calinesti	Călineşti
calinesti-oas	Călineşti-Oaş
calmatuiu	Călmăţuiu
calmatuiu de sus	Călmățuiu de Sus
calnic	Câlnic
calomfiresti	Calomfirești
calopar	Calopăr
calugareni	Călugăreni
calui	Călui
calvini	Calvini
camar	Camăr
camarasu	Cămăraşu
camarzana	Cămărzana
camin	Cămin
campani	Câmpani
campani de pomezeu	Câmpani de Pomezeu
campeni	Câmpeni
campia turzii	Câmpia Turzii
campina	Câmpina
campineanca	Câmpineanca
campulung	Câmpulung
campulung la tisa	Câmpulung la Tisa
campulung moldovenesc	Câmpulung Moldovenesc
campurelu	Câmpurelu
campuri	Câmpuri
campurile de jos	Câmpurile de Jos
candesti	Cândeşti
candesti vale	Cândeşti Vale
canesti	Căneşti
capalna	Căpâlna
capalnita	Căpâlniţa
capatanenii pamanteni	Căpățânenii Pământeni
capatanesti	Căpățânești
capeni	Căpeni
capleni	Căpleni
caporal alexa	Caporal Alexa
capreni	Căpreni
caprioru	Căprioru
capu campului	Capu Câmpului
capu codrului	Capu Codrului
capu piscului	Capu Piscului
capusu mare	Căpuşu Mare
caracal	Caracal
caraclau	Caraclău
carand	Cărand
carani	Carani
caransebes	Caransebeş
caraseu	Cărășeu
carasova	Caraşova
carastelec	Carastelec
caraula	Caraula
carbunari	Cărbunari
carbunesti	Cărbuneşti
carcaliu	Carcaliu
carcea	Cârcea
carei	Carei
carja	Cârja
carjiti	Cârjiţi
carjoaia	Cârjoaia
carlibaba	Cârlibaba
carligele	Cârligele
carligi	Cârligi
carlogani	Cârlogani
carna	Cârna
carniceni	Cârniceni
carpen	Carpen
carpinet	Cărpinet
carpinis	Cărpiniș
carpinis	Cărpiniş
carta	Cârţa
cartisoara	Cârţişoara
cartojani	Cartojani
cascioarele	Căscioarele
caseiu	Căşeiu
casimcea	Casimcea
casin	Caşin
casoca	Cașoca
castau	Căstău
castelu	Castelu
castranova	Castranova
castrele traiane	Castrele Traiane
cata	Caţa
catalina	Catalina
cataloi	Cataloi
catamaresti-deal	Cătămărești-Deal
catane	Catane
catanele	Catanele
catcau	Câţcău
cateasca	Căteasca
catelu	Cățelu
catina	Cătina
catunele	Cătunele
cauas	Căuaş
cavadinesti	Cavadineşti
cavnic	Cavnic
cazaci	Cazaci
cazanesti	Căzăneşti
cazasu	Cazasu
ceacu	Ceacu
ceahlau	Ceahlău
ceamurlia de jos	Ceamurlia de Jos
ceamurlia de sus	Ceamurlia de Sus
ceanu mare	Ceanu Mare
ceardac	Ceardac
ceatalchioi	Ceatalchioi
ceauru	Ceauru
cefa	Cefa
cegani	Cegani
cehal	Cehal
cehei	Cehei
cehu silvaniei	Cehu Silvaniei
ceica	Ceica
celaru	Celaru
cenad	Cenad
cenade	Cenade
cenei	Cenei
cepari	Cepari
ceparii pamanteni	Ceparii Pământeni
ceplenita	Cepleniţa
ceptura de jos	Ceptura de Jos
ceptura de sus	Ceptura de Sus
cerasu	Ceraşu
cerat	Cerăt
cerbal	Cerbăl
cerchezu	Cerchezu
cerdac	Cerdac
cergau mare	Cergău Mare
cergau mic	Cergău Mic
cermei	Cermei
cerna	Cerna
cernat	Cernat
cernatesti	Cernăteşti
cernavoda	Cernavodă
cernele	Cernele
cernesti	Cerneşti
cerneti	Cerneți
cernetu	Cernetu
cernica	Cernica
cernisoara	Cernişoara
cernu	Cernu
certeju de sus	Certeju de Sus
certesti	Cerţeşti
certeze	Certeze
ceru-bacainti	Ceru-Băcăinţi
cervenia	Cervenia
cetariu	Cetariu
cetate	Cetate
cetatea	Cetatea
cetatea de balta	Cetatea de Baltă
cetateni	Cetăţeni
ceuasu de campie	Ceuașu de Câmpie
cezieni	Cezieni
checea	Checea
cheia	Cheia
chelinta	Chelința
chendrea	Chendrea
chendu	Chendu
cherechiu	Cherechiu
cherelus	Chereluș
chesereu	Cheșereu
chesint	Chesinț
chet	Cheț
chetani	Cheţani
cheveresu mare	Chevereşu Mare
chiajna	Chiajna
chibed	Chibed
chichis	Chichiş
chier	Chier
chiesd	Chieşd
chiheru de jos	Chiheru de Jos
chilia veche	Chilia Veche
chilii	Chilii
chiliile	Chiliile
chinteni	Chinteni
chintinici	Chintinici
chiochis	Chiochiş
chiojdeanca	Chiojdeanca
chiojdeni	Chiojdeni
chiojdu	Chiojdu
chiraftei	Chiraftei
chircesti	Chircești
chiriacu	Chiriacu
chirnogeni	Chirnogeni
chirnogi	Chirnogi
chirpar	Chirpăr
chiscani	Chiscani
chiscareni	Chișcăreni
chiselet	Chiselet
chisindia	Chisindia
chisineu-cris	Chişineu-Criş
chislaz	Chişlaz
chisoda	Chișoda
chitila	Chitila
chitoc	Chițoc
chitorani	Chițorani
chiuiesti	Chiuiești
chiuza	Chiuza
ciacova	Ciacova
cicanesti	Cicănești
cicarlau	Cicârlău
ciceu	Ciceu
ciceu-giurgesti	Ciceu-Giurgeşti
ciceu-mihaiesti	Ciceu-Mihăiești
ciclova-romana	Ciclova-Română
cidreag	Cidreag
cilibia	Cilibia
cilieni	Cilieni
cincu	Cincu
cintei	Cintei
ciobanu	Ciobanu
ciocanari	Ciocănari
ciocanesti	Ciocănești
ciocanesti	Ciocăneşti
ciocani	Ciocani
ciocarlia	Ciocârlia
ciocarlia de sus	Ciocârlia de Sus
ciochina	Ciochina
ciochiuta	Ciochiuța
ciocile	Ciocile
ciofliceni	Ciofliceni
ciofrangeni	Ciofrângeni
ciohorani	Ciohorăni
ciolpani	Ciolpani
ciomagesti	Ciomăgeşti
ciorani	Ciorani
cioranii de jos	Cioranii de Jos
cioranii de sus	Cioranii de Sus
ciorasti	Ciorăști
ciorasti	Ciorăşti
cioroboreni	Cioroboreni
ciorogarla	Ciorogârla
cioroiasi	Cioroiași
ciortesti	Ciorteşti
cipau	Cipău
ciprian porumbescu	Ciprian Porumbescu
ciresoaia	Cireșoaia
ciresu	Cireşu
cislau	Cislău
cismele	Cișmele
cisnadie	Cisnădie
ciuani	Ciuani
ciucani	Ciucani
ciucea	Ciucea
ciuchici	Ciuchici
ciucsangeorgiu	Ciucsângeorgiu
ciucurova	Ciucurova
ciudanovita	Ciudanoviţa
ciughes	Ciugheș
ciugud	Ciugud
ciulnita	Ciulnița
ciulnita	Ciulniţa
ciumani	Ciumani
ciumbrud	Ciumbrud
ciumeghiu	Ciumeghiu
ciumesti	Ciumești
ciuperceni	Ciuperceni
ciupercenii noi	Ciupercenii Noi
ciupercenii vechi	Ciupercenii Vechi
ciurea	Ciurea
ciurila	Ciurila
ciuruleasa	Ciuruleasa
ciuslea	Ciușlea
ciutelec	Ciutelec
cizer	Cizer
cleanov	Cleanov
cleja	Cleja
clejani	Clejani
clinceni	Clinceni
clit	Clit
clocotici	Clocotici
closani	Cloșani
cluj-napoca	Cluj-Napoca
coada izvorului	Coada Izvorului
coarnele caprei	Coarnele Caprei
coas	Coaș
cobadin	Cobadin
cochirleanca	Cochirleanca
cociu	Cociu
cociuba mare	Cociuba Mare
coconi	Coconi
cocora	Cocora
cocorastii colt	Cocorăștii Colț
cocorastii mislii	Cocorăștii Mislii
cocoreni	Cocoreni
cocu	Cocu
codaesti	Codăeşti
codlea	Codlea
cogealac	Cogealac
cogeasca	Cogeasca
cojasca	Cojasca
cojocna	Cojocna
colacu	Colacu
colceag	Colceag
colelia	Colelia
colibasi	Colibași
colibasi	Colibaşi
colonesti	Coloneşti
colonia bod	Colonia Bod
colonia fabricii	Colonia Fabricii
coltau	Coltău
colti	Colţi
comana	Comana
comana de jos	Comana de Jos
comana de sus	Comana de Sus
comanca	Comanca
comanda	Comanda
comandau	Comandău
comanesti	Comănești
comanesti	Comăneşti
comani	Comani
comarna	Comarna
comarnic	Comarnic
comisani	Comişani
comlosu mare	Comloşu Mare
comosteni	Comoșteni
comuna radomiresti	Comuna Radomireşti
concesti	Conceşti
condeesti	Condeești
conduratu	Conduratu
conop	Conop
constanta	Constanţa
constantin brancoveanu	Constantin Brâncoveanu
constantin daicoviciu	Constantin Daicoviciu
contesti	Conțești
contesti	Conţeşti
copacel	Copăcel
copacele	Copăcele
copacelu	Copăcelu
copaceni	Copăceni
copaciu	Copaciu
copalau	Copălău
copalnic manastur	Copalnic Mănăştur
copsa mica	Copşa Mică
corabia	Corabia
corbasca	Corbasca
corbeanca	Corbeanca
corbeni	Corbeni
corbi	Corbi
corbii mari	Corbii Mari
corbita	Corbiţa
corbu	Corbu
corbu nou	Corbu Nou
corcova	Corcova
cordareni	Cordăreni
cordau	Cordău
cordun	Cordun
corlatel	Corlăţel
corlateni	Corlăteni
corlatesti	Corlătești
cormaia	Cormaia
cornatel	Cornățel
cornatelu	Cornăţelu
cornea	Cornea
cornereva	Cornereva
cornesti	Corneşti
cornesti	Cornești
cornetu	Cornetu
corni	Corni
corni-albesti	Corni-Albești
cornu de jos	Cornu de Jos
cornu de sus	Cornu de Sus
cornu luncii	Cornu Luncii
cornutel	Cornuțel
corocaiesti	Corocăiești
corod	Corod
coroieni	Coroieni
coroiesti	Coroieşti
coroisanmartin	Coroisânmartin
coronini	Coronini
coropceni	Coropceni
corunca	Corunca
corund	Corund
cosambesti	Cosâmbeşti
cosani	Coșani
cosbuc	Coşbuc
coseiu	Coşeiu
cosereni	Coşereni
cosesti	Coşeşti
cosmesti	Cosmeşti
cosmestii-vale	Cosmeștii-Vale
cosmina de jos	Cosmina de Jos
cosna	Coșna
cosoba	Cosoba
cosoveni	Coşoveni
costache negri	Costache Negri
costana	Costâna
costeiu	Coşteiu
costesti	Costești
costesti	Costeşti
costestii din deal	Costeștii din Deal
costestii din vale	Costeştii din Vale
costinesti	Costineşti
costisa	Costişa
costuleni	Costuleni
cosula	Coșula
cotatcu	Coțatcu
coteana	Coteana
cotenesti	Cotenești
cotesti	Coteşti
cotmeana	Cotmeana
cotnari	Cotnari
cotofanesti	Coţofăneşti
cotofenii din dos	Coţofenii din Dos
cotofenii din fata	Coțofenii din Față
cotu vames	Cotu Vameș
cotumba	Cotumba
cotusca	Coţuşca
covasint	Covăsinţ
covasna	Covasna
covrigi	Covrigi
cozia	Cozia
cozieni	Cozieni
cozma	Cozma
cozmeni	Cozmeni
cozmesti	Cozmeşti
cozmesti	Cozmești
cracaoani	Crăcăoani
cracaul negru	Cracăul Negru
craciunei	Crăciunei
craciunelu de jos	Crăciunelu de Jos
craciunesti	Crăciunești
craciunesti	Crăciuneşti
craidorolt	Craidorolţ
craiesti	Crăieşti
craiesti	Crăiești
craiova	Craiova
craiva	Craiva
crampoia	Crâmpoia
crangeni	Crângeni
crangu	Crângu
crangurile de sus	Crângurile de Sus
crasna	Crasna
crasna viseului	Crasna Vișeului
creaca	Creaca
creteni	Creţeni
cretesti	Crețești
crevedia	Crevedia
crevedia mare	Crevedia Mare
crevenicu	Crevenicu
cricau	Cricău
criciova	Criciova
crisan	Crişan
crisan	Crișan
criscior	Crişcior
criseni	Crişeni
cristesti	Cristeşti
cristesti	Cristești
cristestii ciceului	Cristeștii Ciceului
cristian	Cristian
cristinesti	Cristineşti
cristioru de jos	Criştioru de Jos
cristolt	Cristolţ
cristur	Cristur
cristuru secuiesc	Cristuru Secuiesc
crivat	Crivăț
crivesti	Crivești
crivina	Crivina
crizbav	Crizbav
croitori	Croitori
crovu	Crovu
crucea	Crucea
crucisor	Crucişor
cruset	Crușeț
crusovu	Crușovu
cubulcut	Cubulcut
cuca	Cuca
cucerdea	Cucerdea
cuci	Cuci
cuciulata	Cuciulata
cucueti	Cucueți
cucuieti	Cucuieți
cucuruzu	Cucuruzu
cucuteni	Cucuteni
cudalbi	Cudalbi
cuejdiu	Cuejdiu
cugir	Cugir
cujmir	Cujmir
culciu mic	Culciu Mic
culmea	Culmea
cumpana	Cumpăna
cungrea	Cungrea
cupseni	Cupşeni
curatele	Curăţele
curcani	Curcani
curtea	Curtea
curtea de arges	Curtea de Argeş
curtesti	Curteşti
curtici	Curtici
curtisoara	Curtişoara
curtuiseni	Curtuișeni
cut	Cut
cuvin	Cuvin
cuza voda	Cuza Vodă
cuzap	Cuzap
cuzaplac	Cuzăplac
cuzdrioara	Cuzdrioara
dabaca	Dăbâca
dabuleni	Dăbuleni
daeni	Dăeni
daesti	Dăești
daesti	Dăeşti
dagata	Dagâţa
daia	Daia
daia romana	Daia Română
dalboset	Dalboșeț
dalga-gara	Dâlga-Gară
dalnic	Dalnic
damacuseni	Dămăcușeni
dambau	Dâmbău
dambovicioara	Dâmbovicioara
dambroca	Dâmbroca
dambu	Dâmbu
damienesti	Dămieneşti
damoc	Dămoc
damuc	Dămuc
danceu	Dănceu
danciulesti	Dănciuleşti
dancu	Dancu
daneasa	Dăneasa
danes	Daneş
danesti	Dăneşti
daneti	Dăneţi
dangeni	Dângeni
dara	Dara
darabani	Darabani
darasti-ilfov	Dărăşti-Ilfov
darasti-vlasca	Dărăști-Vlașca
darjiu	Dârjiu
