's-gravenvoeren	's-Gravenvoeren
koolskamp	Koolskamp
korbeek-lo	Korbeek-Lo
kortemark	Kortemark
kortenaken	Kortenaken
kortenberg	Kortenberg
kortessem	Kortessem
kortrijk	Kortrijk
kortrijk-dutsel	Kortrijk-Dutsel
kozen	Kozen
kraainem	Kraainem
kruibeke	Kruibeke
kruishoutem	Kruishoutem
kumtich	Kumtich
kuringen	Kuringen
kuurne	Kuurne
kwaadmechelen	Kwaadmechelen
la bouverie	La Bouverie
la bruyere	La Bruyère
la calamine	La Calamine
la gleize	La Gleize
la hestre	La Hestre
la hulpe	La Hulpe
la louviere	La Louvière
la reid	La Reid
la roche-en-ardenne	La Roche-en-Ardenne
laarne	Laarne
labuissiere	Labuissière
lambermont	Lambermont
lambusart	Lambusart
lanaken	Lanaken
landegem	Landegem
landelies	Landelies
landen	Landen
landenne	Landenne
laneffe	Laneffe
langdorp	Langdorp
langemark	Langemark
lanklaar	Lanklaar
laplaigne	Laplaigne
lasne-chapelle-saint-lambert	Lasne-Chapelle-Saint-Lambert
latour	Latour
lauw	Lauw
lauwe	Lauwe
le roeulx	Le Roeulx
le roux	Le Roux
lebbeke	Lebbeke
lede	Lede
ledeberg	Ledeberg
ledegem	Ledegem
leefdaal	Leefdaal
leerbeek	Leerbeek
leernes	Leernes
leers-nord	Leers-Nord
leest	Leest
leeuwergem	Leeuwergem
leffinge	Leffinge
leglise	Léglise
leignon	Leignon
leke	Leke
lembeek	Lembeek
lembeke	Lembeke
lemberge	Lemberge
lendelede	Lendelede
lens	Lens
lens-saint-remy	Lens-Saint-Remy
lens-sur-geer	Lens-sur-Geer
leopoldsburg	Leopoldsburg
lessines	Lessines
lesve	Lesve
lettelingen	Lettelingen
letterhoutem	Letterhoutem
leut	Leut
leuven	Leuven
leuze	Leuze
leval-trahegnies	Leval-Trahegnies
liberchies	Liberchies
libin	Libin
libramont	Libramont
lichtaart	Lichtaart
lichtervelde	Lichtervelde
liedekerke	Liedekerke
liege	Liège
lier	Lier
lierneux	Lierneux
liers	Liers
liezele	Liezele
ligny	Ligny
lille	Lille
lillois-witterzee	Lillois-Witterzée
limal	Limal
limbourg	Limbourg
limelette	Limelette
limerle	Limerlé
lincent	Lincent
linden	Linden
linkebeek	Linkebeek
linkhout	Linkhout
lint	Lint
lippelo	Lippelo
lissewege	Lissewege
lixhe	Lixhe
lo	Lo
lobbes	Lobbes
lochristi	Lochristi
lodelinsart	Lodelinsart
loenhout	Loenhout
lokeren	Lokeren
lombardsijde	Lombardsijde
lommel	Lommel
lommersweiler	Lommersweiler
loncin	Loncin
londerzeel	Londerzeel
longchamps	Longchamps
longlier	Longlier
longvilly	Longvilly
lontzen	Lontzen
loonbeek	Loonbeek
loppem	Loppem
lot	Lot
lotenhulle	Lotenhulle
loupoigne	Loupoigne
louvain-la-neuve	Louvain-la-Neuve
