ostrov u macochy	Ostrov u Macochy
ostrozska lhota	Ostrožská Lhota
ostrozska nova ves	Ostrožská Nová Ves
otaslavice	Otaslavice
otice	Otice
otnice	Otnice
otrokovice	Otrokovice
pacov	Pacov
palkovice	Palkovice
pardubice	Pardubice
paseka	Paseka
paskov	Paskov
pavlikov	Pavlíkov
pchery	Pchery
pecka	Pecka
pecky	Pečky
pelhrimov	Pelhřimov
pencin	Pěnčín
perstejn	Perštejn
peruc	Peruc
petrov	Petrov
petrov nad desnou	Petrov nad Desnou
petrovice	Petrovice
petrovice u karvine	Petrovice u Karviné
petrvald	Petřvald
pilnikov	Pilníkov
pilsen	Pilsen
pisecna	Písečná
pisek	Písek
pist	Píšť
plana	Planá
plana nad luznici	Planá nad Lužnicí
planany	Plaňany
planice	Plánice
plasy	Plasy
plavy	Plavy
plesna	Plesná
plumlov	Plumlov
pobezovice	Poběžovice
pocatky	Počátky
podborany	Podbořany
podebrady	Poděbrady
podivin	Podivín
podoli	Podolí
pohorelice	Pohořelice
polepy	Polepy
polesovice	Polešovice
police nad metuji	Police nad Metují
policka	Polička
policna	Poličná
polna	Polná
pomezi	Pomezí
ponikla	Poniklá
popovice	Popovice
poricany	Poříčany
porici nad sazavou	Poříčí nad Sázavou
postoloprty	Postoloprty
postrekov	Postřekov
postrelmov	Postřelmov
postupice	Postupice
potstat	Potštát
povrly	Povrly
pozlovice	Pozlovice
pozorice	Pozořice
prachatice	Prachatice
prachovice	Prachovice
prague	Prague
praslavice	Přáslavice
prazmo	Pražmo
predboj	Předboj
predklasteri	Předklášteří
predmerice nad labem	Předměřice nad Labem
prelouc	Přelouč
premyslovice	Přemyslovice
prerov	Přerov
prerov nad labem	Přerov nad Labem
prestice	Přeštice
prezletice	Přezletice
pribor	Příbor
pribram	Příbram
pribyslav	Přibyslav
prikazy	Příkazy
primda	Přimda
prisovice	Příšovice
probostov	Proboštov
prosec	Proseč
prosek	Prosek
prostejov	Prostějov
prostredni becva	Prostřední Bečva
protivanov	Protivanov
protivin	Protivín
provodov-sonov	Provodov-Šonov
pruhonice	Průhonice
prusanky	Prušánky
prusinovice	Prusinovice
przno	Pržno
psary	Psáry
pteni	Ptení
pusta polom	Pustá Polom
pustimer	Pustiměř
pysely	Pyšely
racice-pistovice	Račice-Pístovice
radimer	Radiměř
radnice	Radnice
radomysl	Radomyšl
radonice	Radonice
radotin	Radotín
radslavice	Radslavice
radvanice	Radvanice
rajec-jestrebi	Rájec-Jestřebí
rajecko	Ráječko
rajhrad	Rajhrad
rajhradice	Rajhradice
rakovnik	Rakovník
rakvice	Rakvice
ralsko	Ralsko
rapotin	Rapotín
raskovice	Raškovice
raspenava	Raspenava
rataje	Rataje
ratibor	Ratiboř
ratiskovice	Ratíškovice
rebesovice	Rebešovice
recany nad labem	Řečany nad Labem
reckovice	Řečkovice
rehlovice	Řehlovice
repiste	Řepiště
reporyje	Řeporyje
repy	Řepy
revnice	Řevnice
revnicov	Řevničov
rez	Řež
ricany	Říčany
ritka	Řitka
rohatec	Rohatec
rokycany	Rokycany
rokytnice	Rokytnice
rokytnice nad jizerou	Rokytnice nad Jizerou
rokytnice v orlickych horach	Rokytnice v Orlických Horách
ronov nad doubravou	Ronov nad Doubravou
ropice	Ropice
rosice	Rosice
rotava	Rotava
rouchovany	Rouchovany
roudnice nad labem	Roudnice nad Labem
rousinov	Rousínov
rovensko pod troskami	Rovensko pod Troskami
rozdalovice	Rožďalovice
rozdrojovice	Rozdrojovice
rozmital pod tremsinem	Rožmitál pod Třemšínem
roznov pod radhostem	Rožnov pod Radhoštěm
roztoky	Roztoky
rtyne v podkrkonosi	Rtyně v Podkrkonoší
ruda nad moravou	Ruda nad Moravou
rudna	Rudná
rudnik	Rudník
rudolfov	Rudolfov
rumburk	Rumburk
ruzyne	Ruzyně
rybi	Rybí
rybitvi	Rybitví
rychnov nad kneznou	Rychnov nad Kněžnou
rychnov u jablonce nad nisou	Rychnov u Jablonce nad Nisou
rychvald	Rychvald
rymarov	Rýmařov
sadov	Sadov
sadska	Sadská
sakvice	Šakvice
samotisky	Samotíšky
sanov	Šanov
sardice	Šardice
satalice	Satalice
satov	Šatov
sazava	Sázava
sec	Seč
sedlcany	Sedlčany
sedlec	Sedlec
sedlec-prcice	Sedlec-Prčice
sedlice	Sedlice
sedliste	Sedliště
sedlnice	Sedlnice
semily	Semily
senice na hane	Senice na Hané
senov	Šenov
senov u noveho jicina	Šenov u Nového Jičína
sepekov	Sepekov
sestajovice	Šestajovice
sevetin	Ševětín
sezemice	Sezemice
sezimovo usti	Sezimovo Ústí
sibrina	Sibřina
silherovice	Šilheřovice
sitborice	Šitbořice
sivice	Sivice
skalice u ceske lipy	Skalice u České Lípy
skalna	Skalná
skrben	Skrbeň
skripov	Skřipov
