a bana	A Baña
armuna de tajuna	Armuña de Tajuña
arnedillo	Arnedillo
arnedo	Arnedo
arnuero	Arnuero
aroche	Aroche
arona	Arona
arquillinos	Arquillinos
arquillos	Arquillos
arrabalde	Arrabalde
arrancacepas	Arrancacepas
arrasate / mondragon	Arrasate / Mondragón
arraya de oca	Arraya de Oca
arrecife	Arrecife
arredondo	Arredondo
arriate	Arriate
arrigorriaga	Arrigorriaga
arroniz	Arróniz
arroyo de la encomienda	Arroyo de la Encomienda
arroyo de la luz	Arroyo de la Luz
arroyo de la miel	Arroyo de la Miel
arroyo de las fraguas	Arroyo de las Fraguas
arroyo de san servan	Arroyo de San Serván
arroyo del ojanco	Arroyo del Ojanco
arroyomolinos	Arroyomolinos
arroyomolinos de la vera	Arroyomolinos de la Vera
arroyomolinos de leon	Arroyomolinos de León
arruazu	Arruazu
arrubal	Arrúbal
arta	Artà
artajona	Artajona
artana	Artana
artazu	Artazu
arteixo	Arteixo
artenara	Artenara
artes	Artés
artesa de segre	Artesa de Segre
artieda	Artieda
arucas	Arucas
arzua	Arzúa
as pontes de garcia rodriguez	As Pontes de García Rodríguez
asco	Ascó
asin	Asin
aspa	Aspa
aspariegos	Aspariegos
aspe	Aspe
asteasu	Asteasu
astigarraga	Astigarraga
astorga	Astorga
astudillo	Astudillo
asturianos	Asturianos
atajate	Atajate
atalaya	Atalaya
atalaya del canavate	Atalaya del Cañavate
atamaria	Atamaría
atanzon	Atanzón
atapuerca	Atapuerca
ataquines	Ataquines
atarfe	Atarfe
atarrabia	Atarrabia
ataun	Ataun
atea	Atea
ateca	Ateca
atienza	Atienza
atocha	Atocha
atzeneta d'albaida	Atzeneta d'Albaida
aulesti	Aulesti
aunon	Auñón
ausejo	Ausejo
ausejo de la sierra	Ausejo de la Sierra
autilla del pino	Autilla del Pino
autillo de campos	Autillo de Campos
autol	Autol
aveinte	Aveinte
avellaneda	Avellaneda
avellanosa de muno	Avellanosa de Muñó
avia	Avià
avila	Ávila
aviles	Avilés
avinyo	Avinyó
avinyonet de puigventos	Avinyonet de Puigventós
avinyonet del penedes	Avinyonet del Penedès
avion	Avión
axpe-san bartolome	Axpe-San Bartolome
ayamonte	Ayamonte
ayegui	Ayegui
ayerbe	Ayerbe
ayllon	Ayllón
ayna	Ayna
ayodar	Ayódar
ayoo de vidriales	Ayoó de Vidriales
ayora	Ayora
ayuela	Ayuela
azagra	Azagra
azara	Azara
azkoitia	Azkoitia
azlor	Azlor
aznalcazar	Aznalcázar
aznalcollar	Aznalcóllar
azofra	Azofra
azpeitia	Azpeitia
azuaga	Azuaga
azuara	Azuara
azuebar	Azuébar
azuelo	Azuelo
azuqueca de henares	Azuqueca de Henares
azutan	Azután
babilafuente	Babilafuente
badajoz	Badajoz
badalona	Badalona
badaran	Badarán
badenas	Bádenas
badolatosa	Badolatosa
badules	Badules
baells	Baells
baena	Baena
baeza	Baeza
baga	Bagà
baguena	Báguena
bagues	Bagüés
bahabon	Bahabón
bahabon de esgueva	Bahabón de Esgueva
baides	Baides
bailen	Bailén
bailo	Bailo
baiona	Baiona
bakaiku	Bakaiku
bakio	Bakio
balaguer	Balaguer
balanegra	Balanegra
balazote	Balazote
balboa	Balboa
balconchan	Balconchán
baliarrain	Baliarrain
ballesteros de calatrava	Ballesteros de Calatrava
ballobar	Ballobar
balmaseda	Balmaseda
balones	Balones
balsa de ves	Balsa de Ves
balsareny	Balsareny
baltanas	Baltanás
baltar	Baltar
banares	Bañares
banastas	Banastás
bande	Bande
banobarez	Bañobárez
banon	Bañón
banos de la encina	Baños de la Encina
banos de molgas	Baños de Molgas
banos de montemayor	Baños de Montemayor
banos de rio tobia	Baños de Río Tobía
banos de rioja	Baños de Rioja
banos de tajo	Baños de Tajo
banos de valdearados	Baños de Valdearados
banuelos	Bañuelos
banuelos de bureba	Bañuelos de Bureba
banyalbufar	Banyalbufar
banyoles	Banyoles
baquerin de campos	Baquerín de Campos
barajas de madrid	Barajas de Madrid
barajas de melo	Barajas de Melo
barakaldo	Barakaldo
baralla	Baralla
baranain	Barañáin
barasoain	Barásoain
barbadillo de herreros	Barbadillo de Herreros
barbadillo del mercado	Barbadillo del Mercado
barbadillo del pez	Barbadillo del Pez
barbalos	Barbalos
barbastro	Barbastro
barbate	Barbate
barbera del valles	Barberà del Vallès
barboles	Bárboles
barbolla	Barbolla
barbues	Barbués
barbunales	Barbuñales
barca	Barca
barcabo	Bárcabo
barcarrota	Barcarrota
barcelona	Barcelona
barcena de campos	Bárcena de Campos
barcena de cicero	Bárcena de Cicero
barcena de pie de concha	Bárcena de Pie de Concha
barceo	Barceo
barchin del hoyo	Barchín del Hoyo
barcial de la loma	Barcial de la Loma
