le mont-sur-lausanne	Le Mont-sur-Lausanne
le noirmont	Le Noirmont
le vaud	Le Vaud
leibstadt	Leibstadt
lengnau	Lengnau
lenk	Lenk
lens	Lens
lenzburg	Lenzburg
lenzerheide	Lenzerheide
les avanchets	Les Avanchets
les bois	Les Bois
les brenets	Les Brenets
les breuleux	Les Breuleux
les clees	Les Clées
les geneveys-sur-coffrane	Les Geneveys-sur-Coffrane
les ponts-de-martel	Les Ponts-de-Martel
leuk	Leuk
leukerbad	Leukerbad
leuzigen	Leuzigen
leysin	Leysin
leytron	Leytron
lichtensteig	Lichtensteig
liesberg	Liesberg
liestal	Liestal
ligornetto	Ligornetto
linden	Linden
linthal	Linthal
littau	Littau
locarno	Locarno
lodrino	Lodrino
lohningen	Löhningen
losone	Losone
lostorf	Lostorf
lotzwil	Lotzwil
lucens	Lucens
luchsingen	Luchsingen
lugano	Lugano
lumino	Lumino
lungern	Lungern
luterbach	Luterbach
luthern	Luthern
lutisburg	Lütisburg
lutry	Lutry
lutzelfluh	Lützelflüh
luzein	Luzein
luzern	Luzern
lyss	Lyss
lyssach	Lyssach
madiswil	Madiswil
magadino	Magadino
magden	Magden
maienfeld	Maienfeld
malans	Malans
malleray	Malleray
malters	Malters
malvaglia	Malvaglia
mannedorf	Männedorf
mannedorf / ausserfeld	Männedorf / Ausserfeld
mannedorf / dorfkern	Männedorf / Dorfkern
marin-epagnier	Marin-Epagnier
marly	Marly
marsens	Marsens
marstetten-dorf	Märstetten-Dorf
marthalen	Marthalen
martigny-combe	Martigny-Combe
martigny-ville	Martigny-Ville
massagno	Massagno
matran	Matran
matten	Matten
mattenbach (kreis 7)	Mattenbach (Kreis 7)
mattenbach (kreis 7) / deutweg	Mattenbach (Kreis 7) / Deutweg
mattenbach (kreis 7) / endliker	Mattenbach (Kreis 7) / Endliker
mattenbach (kreis 7) / gutschick	Mattenbach (Kreis 7) / Gutschick
matzendorf	Matzendorf
matzingen	Matzingen
mauensee	Mauensee
mauraz	Mauraz
meggen	Meggen
meierskappel	Meierskappel
meilen	Meilen
meinier	Meinier
meinisberg	Meinisberg
meiringen	Meiringen
meisterschwanden	Meisterschwanden
melano	Melano
melchnau	Melchnau
melide	Melide
mellingen	Mellingen
mendrisio	Mendrisio
menziken	Menziken
menzingen	Menzingen
menznau	Menznau
merenschwand	Merenschwand
merlischachen	Merlischachen
mesocco	Mesocco
messen	Messen
mettmenstetten	Mettmenstetten
meyrin	Meyrin
mezieres	Mézières
minusio	Minusio
mogelsberg	Mogelsberg
mohlin	Möhlin
moiry	Moiry
mollens	Mollens
mollis	Mollis
monchaltorf	Mönchaltorf
monchaltorf / dorf	Mönchaltorf / Dorf
montagnola	Montagnola
montagny	Montagny
montana	Montana
monte carasso	Monte Carasso
monthey	Monthey
montreux	Montreux
morbio inferiore	Morbio Inferiore
morges	Morges
morschwil	Mörschwil
mosnang	Mosnang
moudon	Moudon
moutier	Moutier
muhen	Muhen
muhleberg	Mühleberg
muhlehalde	Mühlehalde
muhlethurnen	Mühlethurnen
mullheim	Müllheim
mumpf	Mumpf
munchenbuchsee	Münchenbuchsee
munchenstein	Münchenstein
munchenwiler	Münchenwiler
munchwilen	Münchwilen
munsingen	Münsingen
munsterlingen	Münsterlingen
muntschemier	Müntschemier
muolen	Muolen
